veiculo_id,ordem_na_rota,entrega_id,hospital_id,hospital_nome,prioridade,peso_kg,tempo_entrega_min,lat,lng
V3,2,39,39,UBS 01 Candangolândia,BAIXA,14.58,30,-15.8518716,-47.9544504
V3,3,81,81,UPA Planaltina,BAIXA,50.78,45,-15.6168213,-47.6912723
V3,4,30,30,UBS 01 São Sebastião,BAIXA,82.6,60,-15.902439,-47.7729157
V3,5,90,90,Hospital Sarah Kubitschek (Asa Sul),BAIXA,73.01,20,-15.7994698,-47.8936904
V3,6,91,91,Hospital Sarah Kubitschek (Lago Norte),ALTA,49.98,10,-15.7525437,-47.8326085
V3,7,92,92,Instituto de Cardiologia do DF (ICDF),BAIXA,79.97,20,-15.8009982,-47.9373327
V3,8,3,3,Hospital Universitário de Brasília (HUB),BAIXA,83.56,60,-15.771302,-47.8743633
V3,9,4,4,Hospital Materno Infantil de Brasília (HMIB),ALTA,92.84,15,-15.8238177,-47.8975294
V4,1,5,5,Hospital Regional de Taguatinga (HRT),MEDIA,10.44,20,-15.8226725,-48.0691403
V4,2,88,88,Policlínica do Gama,ALTA,11.92,45,-16.0189655,-48.0708479
V4,3,87,87,Policlínica de Ceilândia,MEDIA,19.92,60,-15.8248831,-48.1116407
V4,4,86,86,Policlínica de Taguatinga,ALTA,44.39,45,-15.834984,-48.0602371
V4,5,85,85,UPA Riacho Fundo II,MEDIA,60.43,30,-15.8999357,-48.0427049
V4,6,84,84,UPA Paranoá,MEDIA,62.49,10,-15.7699247,-47.7857273
V4,7,70,70,UBS 10 Ceilândia,BAIXA,61.11,15,-15.824572,-48.1160541
V4,8,69,69,UBS 9 Ceilândia,MEDIA,74.8,30,-15.846576,-48.1261521
V4,9,68,68,UBS 7 Ceilândia,CRITICA,42.27,45,-15.7957206,-48.1335935
V4,10,67,67,UBS 10 Recanto das Emas,MEDIA,20.81,15,-15.9300077,-48.1089857
V4,11,66,66,UBS 3 Guará,BAIXA,24.07,10,-15.8495004,-47.9708464
V5,1,65,65,UBS 4 Gama,MEDIA,90.88,45,-16.0260783,-48.0596889
V5,2,64,64,UBS 2 Gama,ALTA,21.02,15,-16.0365657,-48.0637311
V5,3,63,63,UBS 9 Santa Maria,MEDIA,21.4,15,-16.0197626,-48.0251117
V5,4,60,60,UBS 12 São Sebastião (São José),MEDIA,62.77,15,-15.9096788,-47.7674599
V5,5,59,59,UBS 19 São Sebastião (Vila do Boa),MEDIA,29.12,60,-15.8821655,-47.8004155
V5,6,58,58,UBS 04 Paranoá (Jardim II),CRITICA,43.49,15,-16.0165971,-47.3858536
V5,7,57,57,UBS 02 Paranoá (Quadra 18),MEDIA,71.0,10,-15.7707202,-47.7794809
V5,8,56,56,UBS 5 Sobradinho (Basevi),MEDIA,72.54,15,-15.6441162,-47.8908713
V5,9,55,55,UBS 5 Granja do Torto,BAIXA,25.14,60,-15.7087626,-47.9162554
V6,1,12,12,Hospital Regional de Brazlândia (HRBZ),MEDIA,68.75,45,-15.6752771,-48.2036875
V6,2,13,13,Hospital Regional do Paranoá (HRP),CRITICA,95.41,15,-15.7814012,-47.7824032
V6,3,7,7,Hospital Regional do Gama (HRG),ALTA,27.25,20,-16.023695,-48.0697835
V6,4,6,6,Hospital Regional de Ceilândia (HRC),MEDIA,54.51,45,-15.8151346,-48.0970021
V6,5,20,20,Hospital Militar de Área de Brasília (HMAB),ALTA,46.53,45,-15.7727535,-47.9308535
V6,6,19,19,Hospital de Força Aérea de Brasília (HFAB),MEDIA,70.54,45,-15.8708877,-47.9031913
V6,7,18,18,Hospital das Forças Armadas (HFA),MEDIA,49.19,30,-15.8012324,-47.9373345
V6,8,17,17,Hospital São Vicente de Paulo (HSVP),CRITICA,49.24,60,-15.8372373,-48.0600197
V6,9,100,100,Centro de Atenção Psicossocial CAPS AD III de Samambaia,ALTA,52.88,10,-15.8750899,-48.1011611
V6,10,11,11,Hospital Regional de Santa Maria (HRSM),CRITICA,64.82,30,-16.0401658,-48.0372133
V7,1,40,40,UBS 01 Núcleo Bandeirante,MEDIA,14.88,45,-15.8698423,-47.9668616
V7,2,38,38,UBS Metropolitana,MEDIA,56.5,15,-15.8794808,-47.97442
V7,3,8,8,Hospital Regional de Sobradinho (HRS),ALTA,23.66,20,-15.6484601,-47.7931691
V7,4,9,9,Hospital Regional de Planaltina (HRPL),ALTA,45.21,30,-15.6253154,-47.653472
V7,5,99,99,Centro de Atenção Psicossocial CAPS II Planaltina,MEDIA,97.8,20,-15.624939,-47.6512695
V7,6,46,46,UBS 01 Fercal,MEDIA,51.37,15,-15.6005831,-47.8731391
V7,7,47,47,UBS 01 Sobradinho II,BAIXA,69.85,10,-15.6438775,-47.8268803
V7,8,48,48,UBS 02 Sobradinho,CRITICA,86.93,45,-15.6438514,-47.8346051
V7,9,49,49,UBS 01 Planaltina (Vila Buritis),CRITICA,91.6,30,-15.6177452,-47.6436237
V7,10,50,50,UBS 02 Planaltina,CRITICA,38.36,45,-15.534044,-47.7114942
V7,11,51,51,UBS 01 Paranoá,CRITICA,86.84,45,-15.7692068,-47.7825042
V8,1,52,52,UBS 01 Lago Norte,BAIXA,48.28,10,-15.725496,-47.8764125
V8,2,80,80,UPA Vicente Pires,MEDIA,66.17,60,-15.7971406,-48.0272268
V8,3,2,2,Hospital Regional da Asa Norte (HRAN),ALTA,21.5,10,-15.7847168,-47.8841754
V8,4,82,82,UPA Gama,CRITICA,60.26,10,-16.0149838,-48.0567389
V8,5,35,35,UBS 01 Jardins Mangueiral,MEDIA,68.15,60,-15.8946668,-47.81744533
V8,6,34,34,UBS 01 Itapoã,MEDIA,40.31,15,-15.7403029,-47.7649014
V8,7,33,33,UBS 01 Varjão,MEDIA,27.38,15,-15.7100527,-47.8798177
V8,8,32,32,UBS 01 Estrutural,CRITICA,49.9,60,-15.7836403,-47.9998093
V8,9,25,25,UBS 05 Taguatinga Sul,ALTA,45.31,60,-15.8508435,-48.0472145
V9,1,24,24,UBS 03 Taguatinga Norte,CRITICA,12.56,30,-15.8331049,-48.0871074
V9,2,74,74,UPA Ceilândia II,BAIXA,68.85,10,-15.790951,-48.1376898
V9,3,83,83,UPA Brazlândia,BAIXA,79.59,60,-15.6652367,-48.2007518
V9,4,31,31,UBS 01 Recanto das Emas,BAIXA,65.33,60,-15.918988,-48.1049332
V9,5,89,89,Policlínica do Riacho Fundo 1,ALTA,96.43,15,-15.881162,-48.0106085
V9,6,10,10,Hospital Regional de Samambaia (HRSAM),MEDIA,65.96,45,-15.8532367,-48.073427
V9,7,41,41,UBS 01 Riacho Fundo I,BAIXA,42.82,60,-15.8861057,-48.0237135
V9,8,71,71,UBS 16 Ceilândia (Sol Nascente),ALTA,84.51,15,-15.8343611,-48.1361191
V9,9,72,72,UBS 1 Brazlândia,MEDIA,69.91,15,-15.6772189,-48.197582
V9,10,73,73,UPA Ceilândia I,CRITICA,34.36,60,-15.8080671,-48.1384168
V9,11,53,53,UBS 01 Lago Sul,CRITICA,62.8,20,-15.8470842,-47.85473
V10,1,54,54,UBS 01 Gama,CRITICA,34.17,60,-16.020674,-48.0873352
V10,2,1,1,Hospital de Base do Distrito Federal (IHBDF),BAIXA,65.33,30,-15.8006717,-47.8891625
V10,3,45,45,UBS 01 Vicente Pires,MEDIA,44.33,20,-15.819232,-48.0246858
V10,4,96,96,Centro de Saúde Básica 11 - DST/AIDS,MEDIA,56.36,45,-15.7736077,-47.8929665
V10,5,97,97,UBS 03 Vila Planalto,MEDIA,53.88,45,-15.795264,-47.8485535
V10,6,77,77,UPA Sobradinho,MEDIA,85.1,15,-15.6395176,-47.8222068
V10,7,15,15,Hospital de Apoio de Brasília (HAB),ALTA,69.32,60,-15.7559401,-47.9226774
V10,8,14,14,Hospital Regional do Guará (HRGU),ALTA,47.21,45,-15.8179263,-47.9866569
V10,9,44,44,UBS 01 Águas Claras,MEDIA,70.29,10,-15.8543943,-48.038247
